
DECIMAL   	HEX       	DESCRIPTION
-------------------------------------------------------------------------------------------------------------------
1073440   	0x106120  	U-Boot boot loader reference
1170815   	0x11DD7F  	U-Boot boot loader reference
1172480   	0x11E400  	uImage header, header size: 64 bytes, header CRC: 0xB1773589, created: Thu Oct 27 17:38:10 2011, image size: 3988720 bytes, Data Address: 0x80008000, Entry Point: 0x80008000, data CRC: 0x7238D9DB, OS: Linux, CPU: ARM, image type: OS Kernel Image, compression type: none, image name: "Linux"
1185355   	0x12164B  	gzip compressed data, maximum compression, from Unix, NULL date: Thu Jan  1 01:00:00 1970
5161472   	0x4EC200  	uImage header, header size: 64 bytes, header CRC: 0x1F812D57, created: Thu Oct 27 17:38:10 2011, image size: 1471679 bytes, Data Address: 0x0, Entry Point: 0x0, data CRC: 0x7566D37F, OS: Linux, CPU: ARM, image type: RAMDisk Image, compression type: none, image name: "initramfs"
5161536   	0x4EC240  	gzip compressed data, from Unix, last modified: Thu Oct 27 17:37:22 2011
6634496   	0x653C00  	uImage header, header size: 64 bytes, header CRC: 0x2D797BEE, created: Thu Oct 27 17:38:10 2011, image size: 444 bytes, Data Address: 0x0, Entry Point: 0x0, data CRC: 0x88B3B7E, OS: Linux, CPU: ARM, image type: Script file, compression type: none, image name: "boot script"
6635008   	0x653E00  	uImage header, header size: 64 bytes, header CRC: 0x2D797BEE, created: Thu Oct 27 17:38:10 2011, image size: 444 bytes, Data Address: 0x0, Entry Point: 0x0, data CRC: 0x88B3B7E, OS: Linux, CPU: ARM, image type: Script file, compression type: none, image name: "boot script"
6692678   	0x661F46  	U-Boot boot loader reference
6714151   	0x667327  	gzip compressed data, maximum compression, from Unix, last modified: Tue Jan 10 13:00:05 2012
9762087   	0x94F527  	gzip compressed data, maximum compression, from Unix, last modified: Wed Jan 11 11:47:00 2012
54525952  	0x3400000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
59163909  	0x386C505 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #1 "
59199839  	0x387515F 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #1 "
59275417  	0x3887899 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #1 "
59301593  	0x388DED9 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #1 "
59321719  	0x3892D77 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #1 "
59348274  	0x3899532 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #2 "
59492540  	0x38BC8BC 	Linux kernel version "2.6.37+ (mcaro@manel-VirtualBox2) (gcc version 4.6.1 (Ubuntu/Li2) (gcc version 4.6.1 (Ubuntu/Linaro 4.6.1-7ubuntu2~ppa3) ) #2 "
62914560  	0x3C00000 	Linux EXT filesystem, rev 1.0 ext4 filesystem data, UUID=0008119d-9b57-4eb8-9a77-d16828b728b7, volume name "rootfs"
63191040  	0x3C43800 	Executable script, shebang: "/bin/sh"
63206433  	0x3C47421 	Copyright string: " (C) 1996-2001,2003,2007 Free Software Foundation, Inc.oftware Foundation, Inc."
63235072  	0x3C4E400 	Executable script, shebang: "/bin/sh -e"
63270940  	0x3C5701C 	Copyright string: " (c) 2009 Kel Modderman <kel@otaku42.de>aku42.de>"
63278080  	0x3C58C00 	Executable script, shebang: "/bin/sh"
63279104  	0x3C59000 	Executable script, shebang: "/bin/sh"
63292416  	0x3C5C400 	Executable script, shebang: "/bin/sh"
63408128  	0x3C78800 	Executable script, shebang: "/bin/sh -p"
63439872  	0x3C80400 	XML document, version: "1.0"
63441920  	0x3C80C00 	XML document, version: "1.0"
63448064  	0x3C82400 	Executable script, shebang: "/bin/sh"
63452160  	0x3C83400 	Executable script, shebang: "/bin/sh"
